budget,threshold,accuracy,predictions_intervened_on,predictions_changed,total_concept_confirmations,total_concept_edits_made,regime,data_name,model_family,n,missing_fraction,missing_mechanism
0,0.2,0.8747,0,0,0,0,baseline,ideal,cem,10000,0.0,mcar
1,0.2,0.9726,2009,997,2009,998,baseline,ideal,cem,10000,0.0,mcar
3,0.2,0.9725,2009,998,2290,998,baseline,ideal,cem,10000,0.0,mcar
0,0.4,0.8747,0,0,0,0,baseline,ideal,cem,10000,0.0,mcar
1,0.4,0.9726,2009,997,2009,998,baseline,ideal,cem,10000,0.0,mcar
3,0.4,0.9725,2009,998,2290,998,baseline,ideal,cem,10000,0.0,mcar
